ICAV Name,Reg Date,Reg Number,In Liquidation,ETF Related
Cheyne Select Feeder Fund ICAV,2019-02-13,,,
Garlin Investments ICAV,2019-02-19,C189436,,
Tresidor Europe Credit Fund ICAV,2019-02-28,C190148,,
Tresidor Europe Credit Master Fund ICAV,2019-02-28,C190149,,
Global Horizons ICAV,2019-02-28,C190308,,
StepStone Trade Finance ICAV (in liquidation),2019-03-12,C190342,Yes,
Uni Immo Ireland II ICAV,2019-03-22,C190314,,
Global Markets Fund Solutions ICAV (in liquidation),2019-03-22,,Yes,
Redhedge UCITS ICAV,2019-04-09,C191780,,
Crake Global Feeder Fund ICAV,2019-04-09,C191332,,
Crake Global Master Fund ICAV,2019-04-10,C191331,,
Monument Investment Funds ICAV,2019-04-15,C191743,,
ETF Managers ICAV,2019-04-15,C192933,,Yes
ABLS ICAV (in liquidation),2019-04-23,,Yes,
ARK Invest UCITS ICAV,2019-04-23,C193010,,
Marcho Partners Feeder Fund ICAV,2019-04-23,C191783,,
Marcho Partners Master Fund ICAV,2019-04-23,C191782,,
Evelyn Partners UCITS ICAV,2019-04-23,C192995,,
The Children’s Investment Fund ICAV,2019-04-25,C191784,,
LumMap Guardian UCITS ICAV,2019-05-03,C193596,,
4BIO Advanced Therapies Fund ICAV (in liquidation),2019-05-03,,Yes,
4BIO Advanced Therapies Feeder Fund ICAV (in liquidation),2019-05-03,C192856,Yes,
Value Partners Ireland Fund ICAV,2019-05-08,C92974,,
GA Development Dublin ICAV,2019-05-09,C193823,,
Amundi Alternative Funds III ICAV,2019-05-13,C193864,,
ALPHA QUANTAMENTAL MASTER FUND ICAV (in,2019-05-16,,,
ALPHA QUANTAMENTAL FEEDER FUND ICAV (in liquidation),2019-05-16,C193794,Yes,
Schroder Funds ICAV,2019-05-16,C193898,,
Legal & General QIAIF ICAV,2019-06-06,C194054,,
GoldenTree High Yield Value Master Fund ICAV,2019-06-06,C194002,,
BVK Elektra 2 Liffey Phase 1 ICAV,2019-06-06,C193876,,
BVK Elektra 2 Liffey Phase 2 ICAV,2019-06-06,C193877,,
BVK Elektra 2 Liffey Phase 3 ICAV,2019-06-06,,,
Kayne Senior Credit IV Platform ICAV,2019-06-06,C193913,,
HTMN Investment Funds ICAV,2019-06-06,C193923,,
GIB Fund Solutions ICAV (in liquidation),2019-06-10,C190166,Yes,
Aravis Funds (Ireland) ICAV,2019-06-17,C194869,,
RiverRock Jade ICAV,2019-07-02,C194095,,
CA Ventures ICAV,2019-07-02,C194044,,
Sorgente Global Investments ICAV,2019-07-12,,,
White Fleet V ICAV,2019-07-12,C195628,,
DWS Invest (IE) ICAV,2019-07-12,C194848,,
SSG Credit Strategies III ICAV,2019-07-12,C195490,,
CORUM Butler Credit Strategies ICAV,2019-07-12,C195629,,
KATKO ICAV,2019-07-18,C195028,,
Monroe Capital Master ICAV,2019-07-25,C195541,,
Bluebell Active Equity Master Fund ICAV (in liquidation),2019-07-25,,Yes,
Bluebell Active Equity Feeder Fund ICAV (in liquidation),2019-07-25,C195683,Yes,
Ambienta ICAV,2019-07-25,C195780,,
VICOF II QIAIF ICAV,2019-08-13,C196683,,
Elm Long Income ICAV,2019-08-13,C196665,,
BG Eire ICAV,2019-08-20,,,
Ownership Capital UCITS ICAV (in liquidation),2019-08-23,,Yes,
EFI Lake Geneva Ventures ICAV,2019-08-23,C196777,,
Bain Capital I ICAV,2019-08-30,C196714,,
The Vestry ICAV,2019-09-06,C196912,,
Beresford Funds ICAV,2019-09-18,C45619,,
Tai Long Wan Feeder ICAV,2019-09-23,C397883,,
BlackRock Infrastructure Funds ICAV,2019-09-24,C399207,,
SSG Credit Strategies V ICAV,2019-10-01,C399249,,
SSG Credit Strategies IV ICAV,2019-10-01,C399248,,
The Lunnox ICAV,2019-10-01,C399282,,
"Connor, Clark & Lunn UCITS ICAV",2019-10-07,C400076,,
Epoch ICAV,2019-10-09,C399220,,
Blue Whale Investment Funds ICAV,2019-10-10,C400123,,
Devonian II ICAV,2019-10-10,,,
Royalty Pharma Investments 2019 ICAV,2019-10-10,C400096,,
Credit Suisse Index Fund (IE) ETF ICAV (in liquidation),2019-10-11,C401941,Yes,Yes
HPEIF ICAV,2019-10-11,C400101,,
HPREF ICAV,2019-10-11,C400102,,
Uni Immo Ireland III ICAV,2019-10-17,C400105,,
DIM Ireland ICAV,2019-10-21,C400080,,
Lingotto Alternative Investments Feeder Fund ICAV,2019-10-22,,,
Lingotto Alternative Investments Master Fund ICAV,2019-10-22,C400562,,
Vita Settlements Fund 3B ICAV,2019-11-04,C402075,,
Vita Settlements Fund 4 ICAV,2019-11-04,C402073,,
CQS Global Funds II ICAV,2019-11-05,C402165,,
Tresidor Europe Credit Opportunities Master Fund ICAV,2019-11-05,C402059,,
Tresidor Europe Credit Opportunities Feeder Fund ICAV,2019-11-05,,,
Kirakka ICAV,2019-11-12,C402077,,
Prescient Global Funds ICAV,2019-11-13,C72212,,
Prescient Global Qualified Investor Fund ICAV,2019-11-13,C402717,,
Emso Shamrock Fund ICAV,2019-11-18,C402351,,
AG International Investment Opportunities Platform ICAV,2019-11-19,C402850,,
Sagard Healthcare Royalty Partners ICAV,2019-11-19,C405028,,
GaoTeng Fund ICAV (in liquidation),2019-11-21,C405086,Yes,
Interlaken ICAV,2019-11-21,C402163,,
Helikon Long Short Equity Fund ICAV,2019-11-22,C405007,,
Helikon Long Short Equity Fund Master ICAV,2019-11-22,C405011,,
Galtymore Partners Capital Fund ICAV,2019-11-29,C405124,,
Sequoia Venture ICAV,2019-11-29,C417639,,
Quantica UCITS Funds ICAV,2019-12-02,C417680,,
Solas Sustainable Energy Fund,2019-12-03,,,
Sagard Healthcare Royalty Partners II ICAV (in liquidation),2019-12-06,C417706,Yes,
TD ICAV,2019-12-12,C417775,,
Clarus IV ICAV,2019-12-17,C417768,,
Edison ICAV,2019-12-17,C417769,,
BXLS V ICAV,2019-12-19,,,
SSG Credit Strategies VI ICAV (in liquidation),2020-01-07,C417678,Yes,
SSG Credit Strategies VII ICAV,2020-01-07,C417679,,
Vantage Global Funds ICAV,2020-01-09,C418140,,
SphereInvest Global UCITS ICAV,2020-01-10,,,
CIFC Credit Funds ICAV,2020-01-23,C422393,,
Monroe Capital Private Credit Versailles ICAV,2020-01-23,C422047,,
Basalt ICAV,2020-01-27,C422469,,
Catalyst International UCITS ICAV,2020-01-28,,,
Sarofim ICAV,2020-02-04,,,
GCP Equity Ireland ICAV,2020-02-10,C422581,,
Progressive Capital Investments ICAV,2020-02-14,C422862,,
Iguana Investments ICAV,2020-02-24,C425102,,
Brummer Umbrella ICAV,2020-02-24,C425104,,
Acer Tree Funds ICAV,2020-03-10,C425185,,
Drakai Systematic Credit ICAV,2020-03-10,C423581,,
Premium Selection QIAIF ICAV,2020-03-10,C425229,,
